 86%|████████▌ | 90/105 [31:25<05:13, 20.92s/it]
[2025-04-15 16:06:22,240] [WARNING] [stage3.py:2114:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 0.129, 'grad_norm': 0.47685659587233153, 'learning_rate': 4.998881080708759e-06, 'epoch': 0.05}
{'loss': 0.133, 'grad_norm': 0.7290381827079736, 'learning_rate': 4.9720770655628216e-06, 'epoch': 0.23}
{'loss': 0.134, 'grad_norm': 0.6539594747257546, 'learning_rate': 4.8889320144653525e-06, 'epoch': 0.46}
{'loss': 0.1329, 'grad_norm': 0.685234564910029, 'learning_rate': 4.752422169756048e-06, 'epoch': 0.7}
{'loss': 0.134, 'grad_norm': 0.592241830286082, 'learning_rate': 4.565596935789987e-06, 'epoch': 0.93}
{'loss': 0.1404, 'grad_norm': 0.5523317527825805, 'learning_rate': 4.332629679574566e-06, 'epoch': 1.17}
{'loss': 0.1101, 'grad_norm': 0.6325020223378323, 'learning_rate': 4.058724504646834e-06, 'epoch': 1.4}
{'loss': 0.1029, 'grad_norm': 0.6401732720401139, 'learning_rate': 3.7500000000000005e-06, 'epoch': 1.63}
{'loss': 0.1004, 'grad_norm': 0.6081005061331121, 'learning_rate': 3.4133525609159883e-06, 'epoch': 1.86}
{'loss': 0.1024, 'grad_norm': 0.5750143273809294, 'learning_rate': 3.056302334890786e-06, 'epoch': 2.1}
{'loss': 0.0764, 'grad_norm': 0.6195835048694885, 'learning_rate': 2.686825233966061e-06, 'epoch': 2.34}
{'loss': 0.0693, 'grad_norm': 0.6235329704106736, 'learning_rate': 2.3131747660339396e-06, 'epoch': 2.57}
{'loss': 0.0677, 'grad_norm': 0.6177073377762224, 'learning_rate': 1.9436976651092143e-06, 'epoch': 2.8}
{'loss': 0.0671, 'grad_norm': 0.7496018644610782, 'learning_rate': 1.5866474390840126e-06, 'epoch': 3.04}
{'loss': 0.0487, 'grad_norm': 0.5492932476106565, 'learning_rate': 1.2500000000000007e-06, 'epoch': 3.27}
{'loss': 0.0442, 'grad_norm': 0.4746085392043937, 'learning_rate': 9.412754953531664e-07, 'epoch': 3.5}
{'loss': 0.0423, 'grad_norm': 0.4966887240861351, 'learning_rate': 6.673703204254348e-07, 'epoch': 3.74}
{'loss': 0.041, 'grad_norm': 0.4271206130646676, 'learning_rate': 4.344030642100133e-07, 'epoch': 3.97}
{'loss': 0.0414, 'grad_norm': 0.5825064582327708, 'learning_rate': 2.4757783024395244e-07, 'epoch': 4.21}
